"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"FirstEnergy Corp.","Electric Power","Coal risk mitigation report","Climate Change; 
                    
                    
                        Coal","As You Sow","Vote: 31.4%",2011,"NOT"
"MDU Resources Group Inc.","Electric Power","Executive compensation linked to ESG","Governance","Laborers' International Union of North America","Withdrawn; Company will address",2011,"NOT"
"Xcel Energy Inc.","Electric Power","Coal risk mitigation report","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Coal Ash; 
                    
                    
                        Community Impacts; 
                    
                    
                        Water Pollution","As You Sow","Withdrawn; Company will address",2011,"NOT"
"National Oilwell Varco, Inc.","Oil and Gas","Sustainability report including greenhouse gas strategies","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","California State Teachers' Retirement System","Withdrawn; Company will address",2011,"NOT"
"Tesoro Corporation","Oil and Gas","Accident risk mitigation","Worker Safety","AFL-CIO","Vote: 54.3%",2011,"NOT"
"Dynegy Inc.","Electric Power","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York City Office of the Comptroller","Vote: 8.5%",2011,"PDF"
"Ameren Corporation","Electric Power","Coal ash risk mitigation report","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Coal Ash; 
                    
                    
                        Community Impacts; 
                    
                    
                        Water Pollution","Barbara Jennings","Vote: 52.7%",2011,"PDF"
"Occidental Petroleum Corporation","Oil and Gas","Independent board member with environmental expertise","Governance","New York State Comptroller","Vote: 5.3%",2011,"NOT"
"Ultra Petroleum Corp.","Oil and Gas","Hydraulic fracturing impacts","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","As You Sow","Vote: 41.7%",2011,"NOT"
"Chevron Corporation","Oil and Gas","Climate risk disclosure","Climate Change","The Christopher Reynolds Foundation","Withdrawn; Company will address",2011,"NOT"
"Chevron Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","Sisters of St. Francis of Philadelphia","Vote: 40.5%",2011,"NOT"
"FirstEnergy Corp.","Electric Power","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York State Comptroller","Withdrawn; Company will address",2011,"NOT"
"Southwest Gas Corporation","Oil and Gas","Sustainability report including climate change","Climate Change; 
                    
                    
                        Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2011,"NOT"
"SunTrust Banks, Inc.","Financial Services","Sustainability report including climate change","Climate Change; 
                    
                    
                        Sustainability Reporting","Unitarian Universalist Association of Congregations","Vote: 25.6%",2011,"PDF"
"Cleco Corporation","Utilities","Sustainability report including ESG performance and water risk analysis","Sustainability Reporting; 
                    
                    
                        Water Scarcity","Calvert Research & Management","Vote: 45.6%",2013,"NOT"
"Northwest Natural Gas","Oil and Gas","Sustainability report including climate change","Climate Change; 
                    
                    
                        Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2011,"NOT"
"Berkshire Hathaway Inc.","Financial Services","Greenhouse gas emissions reduction goals","Greenhouse Gas Emissions","Newground Social Investment","Vote: 10.1%",2011,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Hydraulic fracturing impacts","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","Park Foundation","Vote: 28.2%",2011,"NOT"
"Public Service Enterprise Group Inc.","Electric Power","Coal risk mitigation report","Climate Change; 
                    
                    
                        Coal","As You Sow","Withdrawn; Company will address",2011,"NOT"
"Southwestern Energy Co.","Oil and Gas","Hydraulic fracturing impacts","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","Domini Impact Investments LLC","Withdrawn; Company will address",2011,"NOT"
"Valero Energy Corporation","Oil and Gas","Accident risk mitigation","Worker Safety","AFL-CIO","Vote: 43.3%",2011,"NOT"
"Peabody Energy Corp.","Electric Power","Greenhouse gas report","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York State Comptroller","Withdrawn; Company will address",2011,"NOT"
"El Paso Corp.","Oil and Gas","Hydraulic fracturing impacts","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","Miller/Howard Investments, Inc.","Withdrawn; Company will address",2011,"NOT"
"ConocoPhillips","Oil and Gas","Oil sands risk report","Climate Change; 
                    
                    
                        Oil Sands","California State Teachers' Retirement System","Vote: 27.8%",2011,"PDF"
"Exxon Mobil Corporation","Oil and Gas","Executive compensation linked to ESG","Governance","Amalgamated Bank","Withdrawn; Company will address",2011,"NOT"
"Carrizo Oil & Gas, Inc.","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","New York State Comptroller","Vote: 43.7%",2011,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Oil sands risk report","Climate Change; 
                    
                    
                        Oil Sands","Green Century Capital Management","Vote: 27.1%",2011,"NOT"
"Hess Corporation","Oil and Gas","Executive compensation linked to ESG","Governance","Amalgamated Bank","Withdrawn; Company will address",2011,"NOT"
"Tesoro Corporation","Oil and Gas","Political spending review","Climate Change; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","The Nathan Cummings Foundation","Withdrawn; Company will address",2011,"NOT"
"Southern Union Company","Oil and Gas","Sustainability report including greenhouse gas emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2011,"NOT"
"Tesoro Corporation","Oil and Gas","Sustainability report including greenhouse gas strategies","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","California State Teachers' Retirement System","Withdrawn; Company will address",2011,"NOT"
"ConocoPhillips","Oil and Gas","Accident risk mitigation","Worker Safety","AFL-CIO","Vote: 7.8%",2011,"NOT"
"Molycorp, Inc.","Mining & Resources","Sustainability report including water risk mitigation","Sustainability Reporting; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Mercy Investment Services, Inc.","Withdrawn; Ongoing dialogue",2013,"NOT"
"Freeport-McMoRan Copper & Gold Inc.","Mining & Resources","Independent board member with environmental expertise","Governance","New York State Comptroller","Vote: 30.8%",2011,"NOT"
"Varian Medical Systems Inc.","Healthcare, Pharmaceuticals","Sustainability report including greenhouse gas reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Withdrawn; Company will address",2011,"NOT"
"Great-West Lifeco Inc.","Financial Services","Disclosure of response to climate change","Climate Change","NEI Investments","Vote: 7.3%",2011,"NOT"
"Wal-Mart Stores Inc.","Big Box/Retail","Suppliers to issue sustainability reports","Supply Chain; 
                    
                    
                        Sustainability Reporting","New York City Office of the Comptroller","Vote: 2%",2011,"NOT"
"Emerson Electric Co.","Manufacturing","Sustainability report including greenhouse gas emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 33.7%",2011,"NOT"
"Nordstrom Inc.","Big Box/Retail","Water risk in supply chain","Supply Chain; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Newground Social Investment","Withdrawn; Company will address",2011,"NOT"
"St. Jude Medical Inc.","Healthcare, Pharmaceuticals","Sustainability report including greenhouse gas reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Withdrawn; Company will address",2011,"NOT"
"Dollar Tree, Inc.","Big Box/Retail","Sustainability report","Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2011,"NOT"
"Layne Christensen Company","Oil and Gas","Sustainability report including greenhouse gas strategies","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 92.8%",2011,"NOT"
"Amazon.com Inc.","Retail","Climate risk disclosure","Climate Change","Calvert Research & Management","Vote: 20.4%",2011,"NOT"
"Time Warner Inc.","Entertainment","Sustainability report","Sustainability Reporting","Newground Social Investment","Withdrawn; Company will address",2011,"NOT"
"Gentex Corporation","Manufacturing","Sustainability report","Sustainability Reporting","Walden Asset Management","Vote: 37.8%",2011,"NOT"
"Texas Instruments Inc.","Technology","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2013,"NOT"
"Dunkin' Brands","Food and Beverage","Palm oil sourcing","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Supply Chain; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","New York State Comptroller","Withdrawn; Company will address",2013,"NOT"
"Freeport-McMoRan Copper & Gold Inc.","Mining & Resources","Independent board member with environmental expertise","Governance","New York State Comptroller","Vote: 29.6%",2013,"NOT"
"Westinghouse Air Brake Technologies Corporation","Transportation","Sustainability report including ESG performance and GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Withdrawn; Company will address",2013,"NOT"
"Pioneer Natural Resources Co.","Oil and Gas","Report describing environmental and social challenges and opportunities associated with hydraulic fracturing","Hydraulic Fracturing","Calvert Research & Management","Vote: 41.7%",2013,"NOT"
"Starbucks Corporation","Food and Beverage","Palm oil policy","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Green Century Capital Management","Withdrawn; Company will address",2013,"NOT"
"National Oilwell Varco, Inc.","Oil and Gas","Executive compensation linked to ESG","Governance","Laborers' International Union of North America","Withdrawn; Company will address",2012,"NOT"
"Ultra Petroleum Corp.","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing","Green Century Capital Management","Withdrawn; Company will address",2013,"NOT"
"Chevron Corporation","Oil and Gas","Issue report reviewing physical risk exposure, cost estimates, and plans to mitigate climate risk","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","The Christopher Reynolds Foundation","Vote: 7.6%",2013,"NOT"
"EOG Resources, Inc.","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing","Green Century Capital Management","Withdrawn; Company will address",2013,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing","New York City Office of the Comptroller","Vote: 30.2%",2013,"NOT"
"Walter Energy, Inc.","Mining & Resources","Energy use management report","Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Energy Efficiency (products); 
                    
                    
                        Energy Efficiency (utilities)","California State Teachers' Retirement System","Withdrawn; Company will address",2013,"NOT"
"Lowe's Companies Inc.","Big Box/Retail","Board commitment to oversight of environmental and social matters","Governance","Calvert Research & Management","Withdrawn; Company will address",2013,"NOT"
"Denbury Resources Inc.","Oil and Gas","Board commitment to oversight of environmental and social matters","Governance","Calvert Research & Management","Withdrawn; Company will address",2013,"NOT"
"Dominion Resources, Inc.","Electric Power","Biomass power plant decommissioning","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Renewables","Mary Booth","Omitted",2013,"NOT"
"Dominion Resources, Inc.","Electric Power","Report addressing long-term price stability of natural gas","Climate Change","Ivy Main","Omitted",2013,"NOT"
"Southern Company","Electric Power","Water risk report","Water Pollution; 
                    
                    
                        Water Scarcity","Connecticut Office of the State Treasurer","Withdrawn; Company will address",2011,"NOT"
"Energen Corp.","Oil and Gas","Hydraulic fracturing impacts","Climate Change; 
                    
                    
                        Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","Miller/Howard Investments, Inc.","Vote: 49.5%",2011,"NOT"
"Chevron Corporation","Oil and Gas","Executive compensation linked to ESG","Governance","Laborers' International Union of North America","Vote: 5.6%",2011,"NOT"
"Marathon Oil Corporation","Oil and Gas","Accident risk mitigation","Worker Safety","AFL-CIO","Vote: 7.4%",2011,"NOT"
"Dominion Resources, Inc.","Electric Power","Mountain top removal impacts","Community Impacts; 
                    
                    
                        Mountaintop Removal","Bernice Schoenbaum","Vote: 6.9%",2013,"PDF"
"Dominion Resources, Inc.","Electric Power","Executive compensation linked to ESG","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Pam Morgan","Vote: 7.1%",2013,"PDF"
"Exxon Mobil Corporation","Oil and Gas","Adopt quantitative GHG goals for products and operations","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Tri-State Coalition for Responsible Investment","Vote: 26.7%",2013,"NOT"
"Mondelez International, Inc.","Food and Beverage","Deforestation impact and risk mitigation report","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Supply Chain; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Domini Impact Investments LLC","Omitted",2013,"NOT"
"Motorola Solutions, Inc.","Technology","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Vote: 6.1%",2013,"NOT"
"EMC Corporation","Technology","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2013,"NOT"
"Dominion Resources, Inc.","Electric Power","Climate risk report including financial impacts from extreme weather","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Pam Morgan","Vote: 22.6%",2013,"NOT"
"CMS Energy Corp.","Electric Power","Coal risk exposure report","Climate Change; 
                    
                    
                        Coal; 
                    
                    
                        Coal Ash; 
                    
                    
                        Water Pollution","As You Sow","Vote: 6.6%",2011,"NOT"
"J. M. Smucker Company","Food and Beverage","Climate risk in supply chain","Climate Change; 
                    
                    
                        Supply Chain","Calvert Research & Management","Filed",2012,"NOT"
"R.R. Donnelley & Sons Company","Business Services","Sustainable paper sourcing","Forests; 
                    
                    
                        Supply Chain; 
                    
                    
                        Biodiversity","Domini Impact Investments LLC","Vote: 26.7%",2012,"NOT"
"Chevron Corporation","Oil and Gas","Shareholder bylaw amendment","Governance","Newground Social Investment","Vote: 30.8%",2012,"NOT"
"Sempra Energy","Electric Power","Executive compensation linked to ESG","Governance","Laborers' International Union of North America","Vote: 6.9%",2011,"NOT"
"Dell Inc.","Technology","Suppliers to issue sustainability reports","Supply Chain; 
                    
                    
                        Sustainability Reporting","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"H. J. Heinz Company","Food and Beverage","Sustainable forestry report","Forests; 
                    
                    
                        Biodiversity","Benedictine Sisters of Virginia","Withdrawn; Company will address",2012,"NOT"
"Range Resources Corporation","Oil and Gas","Report including measuring, mitigating, and disclosing methane emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Trillium Asset Management","Vote: 21.7%",2013,"PDF"
"Iconix Brand Group","Consumer Goods","Sustainability report","Sustainability Reporting","California State Teachers' Retirement System","Withdrawn; Company will address",2012,"NOT"
"Casey's General Stores, Inc.","Big Box/Retail","Energy use targets","Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (products)","Calvert Research & Management","Filed",2012,"NOT"
"Yum! Brands, Inc.","Food and Beverage","Comprehensive sustainable palm oil policy","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Trillium Asset Management","Withdrawn; Ongoing dialogue",2013,"NOT"
"Oracle Corporation","Technology","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Home Depot, Inc.","Big Box/Retail","Stormwater management policy","Water Pollution","David Brook","Vote: 3.6%",2012,"NOT"
"ONEOK Inc.","Oil and Gas","Fugitive methane report","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Worker Safety","Trillium Asset Management","Vote: 38.2%",2013,"PDF"
"Simpson Manufacturing Co., Inc.","Manufacturing","Sustainability report including greenhouse gas reduction goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 33.1%",2013,"NOT"
"Chevron Corporation","Oil and Gas","Independent board member with environmental expertise","Governance","New York State Comptroller","Vote: 21.7%",2013,"PDF"
"Kimco Realty Corporation","Real Estate","Sustainability report","Climate Change; 
                    
                    
                        Energy Efficiency (buildings); 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Water Scarcity","New York City Office of the Comptroller","Withdrawn; Company will address",2013,"NOT"
"SL Green Realty Corporation","Real Estate","Sustainability report","Energy Efficiency (buildings); 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Water Scarcity","New York City Office of the Comptroller","Withdrawn; Company will address",2013,"NOT"
"Cincinnati Financial Corp.","Insurance","Sustainability report including systemic risk reduction from climate change","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Solid Waste; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Water Scarcity","Miller/Howard Investments, Inc.","Vote: 28%",2013,"PDF"
"Citrix Systems, Inc.","Technology","Energy use management report","Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Energy Efficiency (products); 
                    
                    
                        Energy Efficiency (utilities)","California State Teachers' Retirement System","Withdrawn; Company will address",2013,"NOT"
"Target Corp.","Big Box/Retail","Suppliers to issue sustainability reports","Supply Chain; 
                    
                    
                        Sustainability Reporting","New York City Office of the Comptroller","Withdrawn; Company will address",2013,"NOT"
"Fiserv, Inc.","Technology","Energy use management report","Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Energy Efficiency (products); 
                    
                    
                        Energy Efficiency (utilities)","California State Teachers' Retirement System","Withdrawn; Company will address",2013,"NOT"
"Coherent Inc.","Technology","Sustainability report including ESG performance and GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Withdrawn; Company will address",2013,"NOT"
"Amazon.com Inc.","Shipping","Climate risk report","Climate Change; 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","Calvert Research & Management","Withdrawn; Company will address",2013,"NOT"
"Ralcorp Holdings Inc.","Consumer Goods","Water risk report","Supply Chain; 
                    
                    
                        Water Pollution; 
                    
                    
                        Worker Safety","Calvert Research & Management","No Vote For Technical Reasons",2013,"NOT"
"Monsanto Co.","Agriculture","Water Risk Report","Supply Chain; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Midwest Coalition for Responsible Investment","Withdrawn; Company will address",2013,"NOT"
"Cabot Oil & Gas Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","New York State Comptroller","Withdrawn; Company will address",2011,"NOT"
"Dun & Bradstreet Corp.","Technology","Energy use management report","Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Energy Efficiency (products); 
                    
                    
                        Energy Efficiency (utilities)","California State Teachers' Retirement System","Withdrawn; Company will address",2013,"NOT"
"J. M. Smucker Company","Food and Beverage","Palm oil sourcing","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Supply Chain; 
                    
                    
                        Biodiversity","New York State Comptroller","Withdrawn; Company will address",2012,"NOT"
"PNC Financial Services Group Inc.","Banking, Financial Services","Report assessing climate risk from financed emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Boston Common Asset Management, LLC","Vote: 22.8%",2013,"PDF"
"FLIR Systems, Inc.","Consumer Goods","Energy use management report","Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Energy Efficiency (products); 
                    
                    
                        Energy Efficiency (utilities)","California State Teachers' Retirement System","Omitted",2013,"NOT"
"Transocean Ltd.","Oil and Gas","Independent board member with environmental expertise","Governance","New York State Comptroller","No Vote For Technical Reasons",2013,"NOT"
"Time Warner Cable Inc.","Communications","Energy efficiency in cable set-top boxes","Energy Efficiency (products)","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Spectra Energy Corp.","Oil and Gas","Report on measurement, mitigation, and discloser of methane emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Trillium Asset Management","Vote: 35.4%",2013,"PDF"
"International Business Machines Corp.","Technology","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","No Vote For Technical Reasons",2013,"NOT"
"Public Storage","Other","Energy efficiency goals","Energy Efficiency (buildings)","Calvert Research & Management","Withdrawn; Company will address",2013,"NOT"
"Empire District Electric Company","Electric Power","Report on cost effective energy efficiency resources","Climate Change; 
                    
                    
                        Energy Efficiency (utilities)","James Evans","Vote: 13.9%",2013,"PDF"
"Valhi, Inc.","Chemicals","Sustainability Report","Sustainability Reporting","New York State Comptroller","No Vote For Technical Reasons",2012,"NOT"
"Gap, Inc.","Retail","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2013,"NOT"
"Ralph Lauren","Apparel","Sustainability Report","Sustainability Reporting","New York State Comptroller","Withdrawn; Company will address",2012,"NOT"
"FirstEnergy Corp.","Utilities","Set goals to reduce water risk","Climate Change; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","As You Sow","Omitted",2013,"NOT"
"Electronic Arts Inc.","Media","Energy use management report","Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Energy Efficiency (products); 
                    
                    
                        Energy Efficiency (utilities)","California State Teachers' Retirement System","Withdrawn; Company will address",2013,"NOT"
"Fossil Group, Inc.","Consumer Goods","Supply chain environmental impacts report","Supply Chain; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Calvert Research & Management","Vote: 29%",2013,"NOT"
"Gentex Corporation","Manufacturing","Sustainability report including ESG performance and GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 36.2%",2013,"PDF"
"International Business Machines Corp.","Technology","Set company-wide renewable energy targets","Renewables","Green Century Capital Management","Withdrawn; Company will address",2013,"NOT"
"Equity Residential","Real Estate","Sustainability report","Energy Efficiency (buildings); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Water Scarcity","New York City Office of the Comptroller","Vote: 42%",2013,"PDF"
"Yum! Brands, Inc.","Food and Beverage","Adopt a comprehensive on-premises recycling strategy for food and beverage packaging","Greenhouse Gas Emissions; 
                    
                    
                        Solid Waste; 
                    
                    
                        Packaging","As You Sow","Withdrawn; Ongoing dialogue",2013,"NOT"
"Dominion Resources, Inc.","Electric Power","Offshore-wind development report","Climate Change; 
                    
                    
                        Renewables","Robert Vanderhye","Omitted",2013,"NOT"
"Stryker Corp.","Healthcare, Pharmaceuticals","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Walden Asset Management","Withdrawn; Company will address",2013,"NOT"
"Celgene Corporation","Biotechnology","Sustainability report","Sustainability Reporting","New York State Comptroller","Withdrawn; Company will address",2012,"NOT"
"CR Bard Inc.","Big Box/Retail","Sustainability report including greenhouse gas emissions","Climate Change; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 27.6%",2011,"NOT"
"Williams-Sonoma Inc.","Big Box/Retail","Sustainability report","Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2011,"NOT"
"Revlon","Consumer Goods","Sustainability report","Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2011,"NOT"
"Scotiabank","Banking","Executive compensation targets","Link Executive Compensation To ESG","NEI Investments","Vote: 35.9%",2011,"NOT"
"Alpha Natural Resources, Inc.","Mining & Resources","Climate risk report","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Unitarian Universalist Association of Congregations","Vote: 18%",2013,"NOT"
"JPMorgan Chase & Co.","Financial Services","Report assessing climate risk from financed emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Boston Common Asset Management, LLC","Withdrawn; Ongoing dialogue",2013,"NOT"
"Berkshire Hathaway Inc.","Insurance","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Newground Social Investment","Vote: 8.8%",2013,"NOT"
"Dominion Resources, Inc.","Electric Power","Report on energy efficiency and renewable energy","Energy Efficiency (utilities); 
                    
                    
                        Renewables","Presbyterian Church (USA)","Omitted",2013,"NOT"
"Chevron Corporation","Oil and Gas","Executive compensation linked to ESG","Governance","Laborers' International Union of North America","Withdrawn; Company will address",2012,"NOT"
"Coach, Inc.","Retail","Sustainability report","Energy Efficiency (buildings); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Water Scarcity; 
                    
                    
                        Worker Safety","Unitarian Universalist Association of Congregations","Withdrawn; Company will address",2013,"NOT"
"Health Management Associates, Inc.","Healthcare, Pharmaceuticals","Sustainability report","Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","Calvert Research & Management","Vote: 31.4%",2013,"NOT"
"Estee Lauder Companies Inc.","Consumer Goods","Palm oil policy","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Sisters of St. Francis of Assisi","Filed",2013,"NOT"
"Ralph Lauren","Apparel","Sustainability report","Sustainability Reporting","New York State Comptroller","Withdrawn; Company will address",2013,"NOT"
"Range Resources Corporation","Oil and Gas","Board commitment to oversight of environmental and social matters","Governance","Calvert Research & Management","Withdrawn; Company will address",2013,"NOT"
"Lifepoint Hospitals Inc.","Healthcare, Pharmaceuticals","Sustainability report","Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","Calvert Research & Management","Withdrawn; Company will address",2013,"NOT"
"Cabot Oil & Gas Corporation","Oil and Gas","Curtail Toxicity of Fracking Fluids","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","New York State Comptroller","Withdrawn; Company will address",2013,"NOT"
"Hasbro Inc.","Consumer Goods","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York State Comptroller","Vote: 3.1%",2013,"NOT"
"Xerox Corp.","Technology","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York State Comptroller","Withdrawn; Company will address",2013,"NOT"
"Emerson Electric Co.","Other","Sustainability report including ESG performance and GHG goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 38%",2014,"NOT"
